EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
39,16/05/2012,,,1,0,,,,,,1,0
39,16/05/2012,,,1,2,6.0,1.0,1,,,,
39,16/05/2012,,,1,3,20.0,1.5,1,,,,
39,16/05/2012,,,1,4,26.5,1.7,0,,,,
39,16/05/2012,,,1,5,18.5,1.2,0,,,,
39,16/05/2012,,,1,6,4.0,0.1,0,,,,
39,16/05/2012,,,2,0,,,,,,1,0
39,16/05/2012,,,2,3,6.0,1.2,1,,,,
39,16/05/2012,,,2,4,6.0,1.2,1,,,,
39,16/05/2012,,,2,5,4.5,0.5,0,,,,
39,16/05/2012,,,3,0,,,,,,1,0
39,16/05/2012,,,3,2,3.9,1.5,1,,,,
39,16/05/2012,,,3,3,18.0,2.4,1,,,,
39,16/05/2012,,,3,4,19.8,2.2,0,,,,
39,16/05/2012,,,3,5,14.0,1.0,0,,,,
39,16/05/2012,,,3,6,4.0,0.1,0,,,,
40,16/05/2012,,,0,0,,,,11.335,,,
40,16/05/2012,,,1,0,,,,,,1,0
40,16/05/2012,,,1,2,10.6,2.5,1,,,,
40,16/05/2012,,,1,3,19.0,3.0,1,,,,
40,16/05/2012,,,1,4,22.5,2.9,0,,,,
40,16/05/2012,,,1,5,17.5,2.0,0,,,,
40,16/05/2012,,,1,6,5.5,0.2,0,,,,
40,16/05/2012,,,2,0,,,,,,1,0
40,16/05/2012,,,2,2,19.5,2.5,1,,,,
40,16/05/2012,,,2,3,28.5,3.1,1,,,,
40,16/05/2012,,,2,4,30.0,2.7,0,,,,
40,16/05/2012,,,2,5,16.0,1.1,0,,,,
40,16/05/2012,,,3,0,,,,,,2,0
40,16/05/2012,,,3,1,3.0,1.4,1,,,,
40,16/05/2012,,,3,2,15.5,2.1,1,,,,
40,16/05/2012,,,3,3,17.0,2.0,0,,,,
40,16/05/2012,,,3,4,9.5,0.3,0,,,,
42,16/05/2012,,,0,0,,,,24.8325,,,
42,16/05/2012,,,1,0,,,,,,1,0
42,16/05/2012,,,1,1,4.5,0.9,1,,,,
42,16/05/2012,,,1,2,17.5,1.7,1,,,,
42,16/05/2012,,,1,3,26.9,2.3,0,,,,
42,16/05/2012,,,1,4,18.9,1.4,0,,,,
42,16/05/2012,,,1,5,3.9,0.1,0,,,,
42,16/05/2012,,,2,0,,,,,,1,0
42,16/05/2012,,,2,2,4.7,1.0,1,,,,
42,16/05/2012,,,2,3,13.0,1.7,1,,,,
42,16/05/2012,,,2,4,16.0,1.2,0,,,,
42,16/05/2012,,,2,5,7.0,0.5,0,,,,
42,16/05/2012,,,3,0,,,,,,1,0
42,16/05/2012,,,3,2,6.5,1.2,1,,,,
42,16/05/2012,,,3,3,17.0,1.9,1,,,,
42,16/05/2012,,,3,4,24.5,2.2,0,,,,
42,16/05/2012,,,3,5,19.5,1.6,0,,,,
42,16/05/2012,,,3,6,6.0,0.1,0,,,,
44,16/05/2012,,,0,0,,,,20.0,,,
44,16/05/2012,,,1,0,,,,,,1,0
44,16/05/2012,,,1,2,15.0,3.0,1,,,,
44,16/05/2012,,,1,3,22.0,3.3,0,,,,
44,16/05/2012,,,1,4,20.5,1.1,0,,,,
44,16/05/2012,,,2,0,,,,,,1,0
44,16/05/2012,,,2,3,9.0,2.5,1,,,,
44,16/05/2012,,,2,4,17.5,2.6,0,,,,
44,16/05/2012,,,2,5,15.0,1.4,0,,,,
44,16/05/2012,,,3,0,,,,,,1,0
44,16/05/2012,,,3,1,4.0,1.5,1,,,,
44,16/05/2012,,,3,2,16.0,2.2,1,,,,
44,16/05/2012,,,3,3,21.0,2.5,0,,,,
44,16/05/2012,,,3,4,12.7,0.8,0,,,,
46,16/05/2012,,,0,0,,,,21.0,,,
46,16/05/2012,,,1,0,,,,,,2,0
46,16/05/2012,,,1,2,11.0,1.0,1,,,,
46,16/05/2012,,,1,3,18.5,1.5,0,,,,
46,16/05/2012,,,1,4,13.2,0.8,0,,,,
46,16/05/2012,,,1,5,1.0,0.1,0,,,,
46,16/05/2012,,,2,0,,,,,,1,0
46,16/05/2012,,,2,1,5.4,0.8,1,,,,
46,16/05/2012,,,2,2,17.0,1.5,1,,,,
46,16/05/2012,,,2,3,18.0,1.3,0,,,,
46,16/05/2012,,,2,4,7.5,0.3,0,,,,
46,16/05/2012,,,3,0,,,,,,1,0
46,16/05/2012,,,3,1,2.4,0.5,1,,,,
46,16/05/2012,,,3,2,7.5,0.9,0,,,,
46,16/05/2012,,,3,3,5.3,0.4,0,,,,
46,16/05/2012,,,3,4,1.2,0.1,0,,,,
48,16/05/2012,,,0,0,,,,50.6666666666665,,,
48,16/05/2012,,,1,0,,,,,,1,0
48,16/05/2012,,,1,2,13.5,1.4,1,,,,
48,16/05/2012,,,1,3,24.0,1.8,1,,,,
48,16/05/2012,,,1,4,27.0,1.8,0,,,,
48,16/05/2012,,,1,5,19.5,1.2,0,,,,
48,16/05/2012,,,1,6,4.5,0.2,0,,,,
48,16/05/2012,,,2,0,,,,,,1,0
48,16/05/2012,,,2,2,16.0,1.5,1,,,,
48,16/05/2012,,,2,3,27.0,1.7,1,,,,
48,16/05/2012,,,2,4,30.0,1.4,0,,,,
48,16/05/2012,,,2,5,19.0,0.5,0,,,,
48,16/05/2012,,,3,0,,,,,,1,0
48,16/05/2012,,,3,1,1.5,0.5,1,,,,
